Epoch,Train Loss,Train PPL,Val Loss,Val PPL,Val BLEU,Val ROUGE
1,3.9471167875427726,51.78584179800937,3.258251398504894,26.004026684347807,25.821076139047,51.431792393213605
2,3.10786354397454,22.373193958722744,2.9753414174613737,19.59631263090595,27.799663561447503,54.02439174956194
3,2.8418470525975468,17.147408470425223,2.8236580200836636,16.838333112281003,27.568964720383583,54.25791529298968
4,2.672649872262171,14.478284008897711,2.740876421239575,15.500564168639846,27.93846346248469,54.69193947958826
5,2.54787667930516,12.779939044092128,2.684095608490342,14.644950620228144,28.46527210839835,55.94410164188815
6,2.444659157051397,11.526620162013026,2.653068379068731,14.197535299277915,29.072861905669,56.462338283907
7,2.358829082060885,10.578557574908643,2.632950685055437,13.914767483372238,29.25768366255273,56.441140016788204
8,2.283582166616919,9.811764909461644,2.6223659707629965,13.768260380864678,29.503419208134503,57.090809632638916
9,2.2177148775607396,9.18631500856352,2.6165577032943146,13.688522435819895,29.573503476825092,56.92415734307873
10,2.1589290487807102,8.661856263863024,2.6174450004160184,13.700673612432377,29.82345750927944,57.52479427403354
