Epoch,Train Loss,Train PPL,Val Loss,Val PPL,Val BLEU,Val ROUGE
1,3.839432816960148,46.49909346189473,1.3468147673234037,3.8451582802442177,26.75096877949585,54.7209811288089
2,0.9677214344444963,2.6319405726940195,0.5475431744453838,1.7289999442297752,50.014602610577455,72.70168422795949
3,0.49980702378700687,1.6484031374100931,0.3525351058737731,1.4226695989313354,59.56996174324534,77.53869606265299
4,0.34443977058087427,1.4111991029152409,0.27388480084913747,1.315063299336975,65.48593637846638,81.14120866825665
5,0.26947758746592654,1.3092802876082494,0.227226346140965,1.2551139259849635,68.66151508863192,83.39132733395859
6,0.2230183989040016,1.249843569276285,0.1983493029680333,1.219388255376748,69.982483537999,84.94068914925373
7,0.1918639333861083,1.2115056602765049,0.18099209593624305,1.1984057069806502,72.16823997300314,86.22214610622665
8,0.16944495389506836,1.1846471350278023,0.16912904202769447,1.1842729500470466,74.15836683862786,87.7550993857023
9,0.1481628875132919,1.1597017819184239,0.15443082576150022,1.166993549375242,75.54171132397107,88.56994771214255
10,0.13342218628037988,1.1427323424213178,0.1474960560219577,1.1589287140313367,76.0864686563965,88.9685559160058
